SET,IE PID,MMS ID,Title (DC),Identifier - Digital File Name (DC),Created - W 3 CDTF (DCTERMS),Is Part Of (DCTERMS)
2,IE1491191,9924707833607636,"Australian Buildings Co., Elizabeth & L. Flinders Sts. Melb. [ie. Elizabeth & Little Flinders Streets, Melbourne]",is007612,1890/1892,[Album collected and compiled during a visit to Australia]
2,IE1385090,9918179813607636,[View of the dress circle foyer at the State Theatre Flinders Street Melbourne],is001802,1929,"[Album of photographs of the State Theatre, Flinders Street Melbourne]"
2,IE389091,9916881863607636,"The old Victorian Customs House, Flinders Street, Melbourne.",a09049,1914/1941,A.C. Dreier postcard collection
2,IE1315484,9918889133607636,"Elizabeth Street from Flinders Street [Melbourne, Vic.]",is002449,1891/1897,Adam Rechberg collection.
2,IE1025522,9916528513607636,"[Looking over City of Melbourne towards Flinders Street, Yarra River and Rail Yards]",ai000370,1945/1951,Airspy collection of aerial photographs.
2,IE1027141,9916528313607636,"[Looking east up Collins Street over City of Melbourne, including Yarra River and Flinders Street Rail Yards]",ai000357,1945/1951,Airspy collection of aerial photographs.
2,IE1027854,9916528433607636,"[City of Melbourne, Flinders Street on left, looking towards Spencer Street Rail Yards at top of image]",ai000365,1926/1928,Airspy collection of aerial photographs.
2,IE1028754,9916529153607636,[Flinders Street Rail Yards with Aspro building l.r.],ai000435,1942/1948,Airspy collection of aerial photographs.
2,IE1047027,9916530013607636,"[City of Melbourne, Yarra River and Flinders Street Railway Station]",ai000533,1935/1941,Airspy collection of aerial photographs.
2,IE1060539,9916538273607636,"[Spencer Street near intersection with Flinders Street, Melbourne, showing railway tracks]",ai001492,1925/1940,Airspy collection of aerial photographs.
2,IE1134695,9939663837907636,"Buildings in Market Street, near corner of Flinders Street, Melbourne, Vic.",ca000159,1953,"Album of photographs depicting 19th century buildings in Melbourne, Vic."
2,IE1139433,9939661442107636,"Buildings in Market Street, near corner of Flinders Street, Melbourne, Vic.",ca000161,1953,"Album of photographs depicting 19th century buildings in Melbourne, Vic."
2,IE1151674,9939657059607636,"Buildings in Market Street, near corner of Flinders Street, Melbourne, Vic.",ca000160,1953,"Album of photographs depicting 19th century buildings in Melbourne, Vic."
2,IE1152070,9939647610607636,"Buildings in Market Street, near corner of Flinders Street, Melbourne, Vic.",ca000158,1953,"Album of photographs depicting 19th century buildings in Melbourne, Vic."
2,IE1889944,9924661613607636,"Railway Arch, Flinders Street, [Melbourne, Vic.]",pi015712,1901,Album of photographs documenting the decorations and illuminations in honour of the Duke and Duchess of York's visit to Melbourne
2,IE1524103,9925774613607636,Looking west along Flinders Street towards Flinders Street Station.,is009586,1922/1929,Album of photographs recording travels around Victoria
2,IE666620,9916585643607636,"FLINDERS STREET STATION, MELBOURNE.",mp000022,1927/1933,"Album of views of Victoria and Mount Gambier, South Australia."
2,IE177209,9939648863707636,"Applicants for enlistment arriving and leaving the R.A.A.F. recruiting depot in Flinders Street, Melbourne",an010255,1937/1943,Argus newspaper collection of war photographs.
2,IE639132,9939651955307636,Australian sailors march up Swanston Street near Flinders Street corner,an011646,1946/1949,Argus newspaper collection of war photographs. Post World War II.
2,IE1344381,9921556943607636,"Flinders Street Station And River Yarra Looking West, Melbourne, Vic..",pc004540,1930/1939,
2,IE702258,9939647938607636,"Applicants for enlistment arriving and leaving the R.A.A.F. recruiting depot in Flinders Street, Melbourne",an010256,1937/1943,Argus newspaper collection of war photographs. World War II.
2,IE698580,9917281923607636,Hoisting the flags of all nations on buildings in Flinders Street.,an009800,1942/1948,Argus newspaper collection of war photographs. World War II.
2,IE1374199,9917319053607636,"ELECTRIC RAILWAY TRACKS, FLINDERS STREET STATION, MELBOURNE. VIC.",pc002452,1950,Murray views ; no. 40.
2,IE1394275,9916855163607636,FLINDERS STREET. FROM THE MELBOURNE RAILWAY STATION.,pb000408,1864,Melbourne album (1864)
2,IE1402937,9917319223607636,FLINDERS STREET RAILWAY STATION. MELBOURNE,pc002457,1936,
2,IE7367587,9939667315207636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000238,1900/1908,Architectural drawings collection.
2,IE7364035,9939654640507636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000239,1900/1908,Architectural drawings collection.
2,IE7367882,9939660085907636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000237,1900/1908,Architectural drawings collection.
2,IE1848840,9933453243607636,"Flinders Street, Melbourne.",pi020779,1954,Australian Publicity Council collection.
2,IE1848225,9933460953607636,"The intersection of Flinders Street and Swanston Street, Melbourne.",pi020837,1953,Australian Publicity Council collection.
2,IE401208,9917185923607636,"Looking South over roof-tops of Flinders Street, to the Yarra river, Princes Bridge and beyond.",b47471,1875,"Bird's-eye views of Melbourne, taken from the top of Scots' Church spire, Collins Street."
2,IE533070,9917186043607636,"Looking South-east showing Flinders Street, Wellington Parade and Jolimont.",b47464,1875,"Bird's-eye views of Melbourne, taken from the top of Scots' Church spire, Collins Street."
2,IE98596,9917360763607636,"[SEC building and Port Phillip Hotel, Flinders Street]",ax000015,1936,"Buildings in Melbourne, East Melbourne, Parkville and Wonthaggi."
2,IE1467949,9924619103607636,[Flinders Street bound train at country station],is008957,1908,Victorian Railways photographs.
2,IE1471810,9923242083607636,"Flinders Street Railway Station, Melbourne, Victoria /",pc004894,1950/1953,
2,IE1377952,9916549483607636,Flinders Street East from opposite bank of Yarra about 1862,wp002406,1859/1865,Charles Norton collection.
2,IE45551,9923772883607636,[Banner on Flinders Street Station welcoming The Great White Fleet],cg003644,1908,Collection of lantern slides by Frank Ernest Allen including The Yarra River from mouth to source.
2,IE22590564,9939783962707636,Flinders Street Railway Station.,pi200132,1922/1938,Collection of photographs taken by Vaughan and Flora Thomas.
2,IE149555,9917423513607636,"[Rocke Tompsitt warehouse, 280 Flinders Street, ca. 1890]",ba000016,1887/1893,"Collection of views in Melbourne and country Victoria including the towns of Ballarat, Geelong, Bacchus Marsh and Daylesford."
2,IE1475655,9917373603607636,"[Entrance to St. Paul's Cathedral, Flinders Street, Melbourne]",cr003470,1900/1950,"Country and bush views, views of Melbourne and country towns."
2,IE22187356,9917258093607636,Grice Sumner & Co. Flinders Street,b31610,1861,Cox and Luckin collection.
2,IE490682,9916439963607636,"[Port Phillip Club Hotel, 33 Flinders street]",b36191,1861,Cox and Luckin collection. Melbourne buildings.
2,IE15467772,9921015713607636,Sketch of property at the corner of Queen & Little Flinders streets belonging to James Graham Esqre. M.L.C.,va000867,1850/1859,
2,IE15474420,9921821133607636,"[Flinders Street West and Bond Street, Melbourne]",va002292,1840/1860,
2,IE7316170,9939651388307636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000235,1900/1908,Architectural drawings collection.
2,IE7336246,9939650012207636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000234,1900/1908,Architectural drawings collection.
2,IE7367850,9939667314707636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000233,1900/1908,Architectural drawings collection.
2,IE7316414,9939660077507636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000214,1900/1908,Architectural drawings collection.
2,IE7363678,9939654050807636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000240,1900/1908,Architectural drawings collection.
2,IE7363709,9939656963407636,"Collection of architectural drawings of the new buildings at Flinders Street Railway Station, Melbourne.",ad000236,1900/1908,Architectural drawings collection.
2,IE389930,9916547793607636,Road from Forest Creek to Bendigo /,b28275,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE411257,9916548403607636,Unlucky digger that never returned /,b28295,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE390554,9916547653607636,Diggers hut canvas & bark /,b28269,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE481546,9916548243607636,Diggers on way to Bendigo /,b28280,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE481056,9916547443607636,The newly arrived inquiring /,b28257,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE481778,9916548213607636,Bendigo Creek /,b28277,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE488174,9916547763607636,Diggers of low degree /,b28273,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE488375,9916547633607636,"Gold buyer, Forest Creek /",b28268,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE487906,9916547583607636,"Nuggeting, Eagle Hawk Bendigo /",b28266,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE481209,9916547493607636,Marking the claim /,b28259,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE511402,9916548223607636,"Iron Bark Gully, Bendigo /",b28278,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE456922,9916548273607636,A Bendigo mill /,b28283,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE436428,9916548353607636,Convivial diggers in Melbourne /,b28291,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE466142,9916548373607636,Digger's wedding in Melbourne /,b28292,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE464385,9916548323607636,Mount Alexander gold escort on road to Melbourne /,b28288,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE466216,9916548393607636,Lucky digger that returned /,b28294,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE466342,9916547523607636,The license inspected /,b28261,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE463960,9916547553607636,Puddling /,b28264,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE390944,9916547603607636,"Interesting statement, quality of washing stuff discussed /",b28267,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE439651,9916547503607636,The claim disputed /,b28260,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE463778,9916547263607636,The Victorian Gold fields during 1852-3: comprising 40 original sketches by S. T. Gill.,b28255,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE465893,9916548333607636,Provident diggers in Melbourne /,b28289,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE464255,9916547353607636,Wayfaring diggers /,b28256,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE480928,9916547693607636,"Butcher's shamble, Forest Creek /",b28270,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE480703,9916548233607636,"Eagle Hawk Gully, Bendigo /",b28279,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE456656,9916548313607636,Sly grog shanty /,b28287,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE456899,9916548343607636,Improvident diggers in Melbourne /,b28290,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE488958,9916548283607636,Lucky diggers on road from Bendigo /,b28284,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE463739,9916547783607636,The invalid digger /,b28274,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE466027,9916547463607636,Diggers licensing Castlemaine Camp /,b28258,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE464379,9916548293607636,Road in Black Forest /,b28285,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE466099,9916547533607636,Cradling /,b28262,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE466345,9916547813607636,Fryers Creek near Castlemaine /,b28276,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE511411,9916547573607636,Fosicking /,b28265,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE511858,9916547713607636,"Digger's auction, Eagle Hawk, Bendigo /",b28271,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE511120,9916547743607636,Diggers of high degree /,b28272,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
