IE PID,MMS ID,Title (DC),Created - W 3 CDTF (DCTERMS),Is Part Of (DCTERMS),palettes,pal_1,pal_2,pal_3,pal_4,pal_5,alma_title,alma_title_statement,alma_summary,alma_p950,ner,pos
IE1491191,9924707833607636,"Australian Buildings Co., Elizabeth & L. Flinders Sts. Melb. [ie. Elizabeth & Little Flinders Streets, Melbourne]",1890/1892,[Album collected and compiled during a visit to Australia],"[[59, 45, 35], [93, 79, 65], [130, 115, 97], [171, 154, 128], [212, 192, 155]]","[59, 45, 35]","[93, 79, 65]","[130, 115, 97]","[171, 154, 128]","[212, 192, 155]","Australian Buildings Co., Elizabeth & L. Flinders Sts. Melb. [ie. Elizabeth & Little Flinders Streets, Melbourne]","Australian Buildings Co., Elizabeth & L. Flinders Sts. Melb. [ie. Elizabeth & Little Flinders Streets, Melbourne]","Elevated view looking across an intersection to a tall building, sign on side reads 'Ships & Offices to let, Apply Harry A. Derham, 271 Collins St.'.",,"['Span[1:4]: ""Australian Buildings Co."" → ORG (0.9006)', 'Span[5:12]: ""Elizabeth & L. Flinders Sts. Melb"" → ORG (0.7124)', 'Span[2:7]: ""Elizabeth & Little Flinders Streets"" → ORG (0.7668)', 'Span[8:9]: ""Melbourne"" → GPE (0.9904)', 'Span[12:15]: ""Australian Buildings Co."" → ORG (0.9123)', 'Span[16:21]: ""Elizabeth & L. Flinders Sts"" → ORG (0.4904)', 'Span[2:7]: ""Elizabeth & Little Flinders Streets"" → FAC (0.7886)', 'Span[8:9]: ""Melbourne"" → GPE (0.9993)', 'Span[28:31]: ""Ships & Offices"" → ORG (0.5365)', 'Span[35:38]: ""Harry A. Derham"" → PERSON (0.7774)', 'Span[39:40]: ""271"" → CARDINAL (0.4037)']","Sentence[85]: ""['Australian Buildings Co., Elizabeth & L. Flinders Sts. Melb. [ie. Elizabeth & Little Flinders Streets, Melbourne]', 'Australian Buildings Co., Elizabeth & L. Flinders Sts. Melb. [ie. Elizabeth & Little Flinders Streets, Melbourne]', ""Elevated view looking across an intersection to a tall building, sign on side reads 'Ships & Offices to let, Apply Harry A. Derham, 271 Collins St.'."", 'n/a']"" → [""['""/'', ""Australian""/NNP, ""Buildings""/NNPS, ""Co.""/NNP, "",""/,, ""Elizabeth""/NNP, ""&""/CC, ""L.""/NNP, ""Flinders""/NNP, ""Sts.""/NNP, ""Melb""/NNP, "".""/., ""[""/:, ""ie.""/FW, ""Elizabeth""/NNP, ""&""/CC, ""Little""/NNP, ""Flinders""/NNP, ""Streets""/NNPS, "",""/,, ""Melbourne""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Australian""/NNP, ""Buildings""/NNPS, ""Co.""/NNP, "",""/,, ""Elizabeth""/NNP, ""&""/CC, ""L.""/NNP, ""Flinders""/NNP, ""Sts""/NNP, "".""/., ""Melb""/NNP, "".""/., ""[""/-LRB-, ""ie.""/FW, ""Elizabeth""/NNP, ""&""/CC, ""Little""/NNP, ""Flinders""/NNP, ""Streets""/NNPS, "",""/,, ""Melbourne""/NNP, ""]'""/'', "",""/,, """"""/``, ""Elevated""/JJ, ""view""/NN, ""looking""/VBG, ""across""/IN, ""an""/DT, ""intersection""/NN, ""to""/IN, ""a""/DT, ""tall""/JJ, ""building""/NN, "",""/,, ""sign""/NN, ""on""/IN, ""side""/NN, ""reads""/VBZ, ""'""/POS, ""Ships""/NNS, ""&""/CC, ""Offices""/NNS, ""to""/TO, ""let""/VB, "",""/,, ""Apply""/VB, ""Harry""/NNP, ""A.""/NNP, ""Derham""/NNP, "",""/,, ""271""/CD, ""Collins""/NNP, ""St.""/NNP, ""'.""""/'', "",""/,, ""'""/'', ""n""/NN, ""/""/:, ""a""/NN, ""']""/'']"
IE1385090,9918179813607636,[View of the dress circle foyer at the State Theatre Flinders Street Melbourne],1929,"[Album of photographs of the State Theatre, Flinders Street Melbourne]","[[63, 62, 55], [98, 95, 82], [126, 122, 106], [156, 150, 130], [192, 184, 160]]","[63, 62, 55]","[98, 95, 82]","[126, 122, 106]","[156, 150, 130]","[192, 184, 160]",[View of the dress circle foyer at the State Theatre Flinders Street Melbourne],[View of the dress circle foyer at the State Theatre Flinders Street Melbourne],Shows unusual carpet design with imitation paving with plants growing in between the pavers.,,"['Span[8:14]: ""the State Theatre Flinders Street Melbourne"" → FAC (0.6956)', 'Span[24:30]: ""the State Theatre Flinders Street Melbourne"" → FAC (0.8074)']","Sentence[54]: ""['[View of the dress circle foyer at the State Theatre Flinders Street Melbourne]', '[View of the dress circle foyer at the State Theatre Flinders Street Melbourne]', 'Shows unusual carpet design with imitation paving with plants growing in between the pavers.', 'n/a']"" → [""['[""/NFP, ""View""/NN, ""of""/IN, ""the""/DT, ""dress""/NN, ""circle""/NN, ""foyer""/NN, ""at""/IN, ""the""/DT, ""State""/NNP, ""Theatre""/NNP, ""Flinders""/NNP, ""Street""/NNP, ""Melbourne""/NNP, ""]'""/'', "",""/,, ""'[""/'', ""View""/NN, ""of""/IN, ""the""/DT, ""dress""/NN, ""circle""/NN, ""foyer""/NN, ""at""/IN, ""the""/DT, ""State""/NNP, ""Theatre""/NNP, ""Flinders""/NNP, ""Street""/NNP, ""Melbourne""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Shows""/VBZ, ""unusual""/JJ, ""carpet""/NN, ""design""/NN, ""with""/IN, ""imitation""/NN, ""paving""/VBG, ""with""/IN, ""plants""/NNS, ""growing""/VBG, ""in""/RB, ""between""/IN, ""the""/DT, ""pavers.""/NNS, ""'""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/,, ""a""/NN, ""']""/'']"
IE389091,9916881863607636,"The old Victorian Customs House, Flinders Street, Melbourne.",1914/1941,A.C. Dreier postcard collection,"[[69, 66, 56], [100, 95, 84], [137, 131, 120], [169, 164, 153], [215, 207, 190]]","[69, 66, 56]","[100, 95, 84]","[137, 131, 120]","[169, 164, 153]","[215, 207, 190]","The old Victorian Customs House, Flinders Street, Melbourne.","The old Victorian Customs House, Flinders Street, Melbourne.",Could not find,,"['Span[3:6]: ""Victorian Customs House"" → FAC (0.8254)', 'Span[7:9]: ""Flinders Street"" → FAC (0.6311)', 'Span[10:11]: ""Melbourne."" → GPE (0.9736)', 'Span[16:19]: ""Victorian Customs House"" → FAC (0.7872)', 'Span[20:22]: ""Flinders Street"" → FAC (0.6140)', 'Span[23:24]: ""Melbourne."" → GPE (0.9932)']","Sentence[37]: ""['The old Victorian Customs House, Flinders Street, Melbourne.', 'The old Victorian Customs House, Flinders Street, Melbourne.', 'Could not find', 'n/a']"" → [""['""/``, ""The""/DT, ""old""/JJ, ""Victorian""/NNP, ""Customs""/NNP, ""House""/NNP, "",""/,, ""Flinders""/NNP, ""Street""/NNP, "",""/,, ""Melbourne.""/NNP, ""'""/'', "",""/,, ""'""/'', ""The""/DT, ""old""/JJ, ""Victorian""/NNP, ""Customs""/NNP, ""House""/NNP, "",""/,, ""Flinders""/NNP, ""Street""/NNP, "",""/,, ""Melbourne.""/NNP, ""'""/'', "",""/,, ""'""/'', ""Could""/MD, ""not""/RB, ""find""/VB, ""'""/'', "",""/,, ""'""/'', ""n""/'', ""/""/:, ""a""/DT, ""']""/'']"
IE1315484,9918889133607636,"Elizabeth Street from Flinders Street [Melbourne, Vic.]",1891/1897,Adam Rechberg collection.,"[[80, 63, 58], [111, 96, 89], [158, 143, 130], [199, 185, 166], [221, 208, 184]]","[80, 63, 58]","[111, 96, 89]","[158, 143, 130]","[199, 185, 166]","[221, 208, 184]","Elizabeth Street from Flinders Street [Melbourne, Vic.]","Elizabeth Street from Flinders Street [Melbourne, Vic.]","Looking north up Elizabeth Street, horse drawn vehicles on road, policeman standing in middle of the road in foreground",,"['Span[1:3]: ""Elizabeth Street"" → PERSON (0.7072)', 'Span[4:6]: ""Flinders Street"" → FAC (0.7643)', 'Span[7:8]: ""Melbourne"" → GPE (0.9960)', 'Span[9:10]: ""Vic."" → GPE (0.9854)', 'Span[13:15]: ""Elizabeth Street"" → FAC (0.8667)', 'Span[16:18]: ""Flinders Street"" → FAC (0.7730)', 'Span[19:20]: ""Melbourne"" → GPE (0.9880)', 'Span[21:22]: ""Vic."" → GPE (0.9551)', 'Span[28:30]: ""Elizabeth Street"" → FAC (0.8528)']","Sentence[53]: ""['Elizabeth Street from Flinders Street [Melbourne, Vic.]', 'Elizabeth Street from Flinders Street [Melbourne, Vic.]', 'Looking north up Elizabeth Street, horse drawn vehicles on road, policeman standing in middle of the road in foreground', 'n/a']"" → [""['""/``, ""Elizabeth""/NNP, ""Street""/NNP, ""from""/IN, ""Flinders""/NNP, ""Street""/NNP, ""[""/-LRB-, ""Melbourne""/NNP, "",""/,, ""Vic.""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Elizabeth""/NNP, ""Street""/NNP, ""from""/IN, ""Flinders""/NNP, ""Street""/NNP, ""[""/-LRB-, ""Melbourne""/NNP, "",""/,, ""Vic.""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Looking""/VBG, ""north""/RB, ""up""/IN, ""Elizabeth""/NNP, ""Street""/NNP, "",""/,, ""horse""/NN, ""drawn""/VBN, ""vehicles""/NNS, ""on""/IN, ""road""/NN, "",""/,, ""policeman""/NN, ""standing""/VBG, ""in""/IN, ""middle""/NN, ""of""/IN, ""the""/DT, ""road""/NN, ""in""/IN, ""foreground""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/SYM, ""a""/DT, ""']""/'']"
IE1025522,9916528513607636,"[Looking over City of Melbourne towards Flinders Street, Yarra River and Rail Yards]",1945/1951,Airspy collection of aerial photographs.,"[[59, 59, 59], [98, 98, 98], [130, 130, 130], [165, 165, 165], [204, 204, 204]]","[59, 59, 59]","[98, 98, 98]","[130, 130, 130]","[165, 165, 165]","[204, 204, 204]","[Looking over City of Melbourne towards Flinders Street, Yarra River and Rail Yards]","[Looking over City of Melbourne towards Flinders Street, Yarra River and Rail Yards]",Could not find,,"['Span[5:6]: ""Melbourne"" → GPE (0.6360)', 'Span[7:9]: ""Flinders Street"" → FAC (0.6234)', 'Span[10:12]: ""Yarra River"" → LOC (0.6787)', 'Span[13:15]: ""Rail Yards"" → FAC (0.5165)', 'Span[22:23]: ""Melbourne"" → GPE (0.7493)', 'Span[24:26]: ""Flinders Street"" → FAC (0.5943)', 'Span[27:29]: ""Yarra River"" → LOC (0.8257)', 'Span[30:32]: ""Rail Yards"" → FAC (0.4711)']","Sentence[45]: ""['[Looking over City of Melbourne towards Flinders Street, Yarra River and Rail Yards]', '[Looking over City of Melbourne towards Flinders Street, Yarra River and Rail Yards]', 'Could not find', 'n/a']"" → [""['[""/-LRB-, ""Looking""/VBG, ""over""/IN, ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, ""towards""/IN, ""Flinders""/NNP, ""Street""/NNP, "",""/,, ""Yarra""/NNP, ""River""/NNP, ""and""/CC, ""Rail""/NNP, ""Yards""/NNP, ""]'""/'', "",""/,, ""'[""/'', ""Looking""/VBG, ""over""/IN, ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, ""towards""/IN, ""Flinders""/NNP, ""Street""/NNP, "",""/,, ""Yarra""/NNP, ""River""/NNP, ""and""/CC, ""Rail""/NNP, ""Yards""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Could""/MD, ""not""/RB, ""find""/VB, ""'""/'', "",""/,, ""'""/'', ""n""/'', ""/""/:, ""a""/DT, ""']""/'']"
IE1027141,9916528313607636,"[Looking east up Collins Street over City of Melbourne, including Yarra River and Flinders Street Rail Yards]",1945/1951,Airspy collection of aerial photographs.,"[[52, 52, 52], [97, 97, 97], [126, 126, 126], [150, 150, 150], [186, 186, 186]]","[52, 52, 52]","[97, 97, 97]","[126, 126, 126]","[150, 150, 150]","[186, 186, 186]","[Looking east up Collins Street over City of Melbourne, including Yarra River and Flinders Street Rail Yards]","[Looking east up Collins Street over City of Melbourne, including Yarra River and Flinders Street Rail Yards]",Could not find,,"['Span[4:6]: ""Collins Street"" → FAC (0.9047)', 'Span[9:10]: ""Melbourne"" → GPE (0.5031)', 'Span[12:14]: ""Yarra River"" → LOC (0.9301)', 'Span[15:19]: ""Flinders Street Rail Yards"" → FAC (0.7416)', 'Span[25:27]: ""Collins Street"" → FAC (0.9105)', 'Span[30:31]: ""Melbourne"" → GPE (0.6003)', 'Span[33:35]: ""Yarra River"" → LOC (0.8989)', 'Span[36:40]: ""Flinders Street Rail Yards"" → FAC (0.6990)']","Sentence[53]: ""['[Looking east up Collins Street over City of Melbourne, including Yarra River and Flinders Street Rail Yards]', '[Looking east up Collins Street over City of Melbourne, including Yarra River and Flinders Street Rail Yards]', 'Could not find', 'n/a']"" → [""['[""/NFP, ""Looking""/VBG, ""east""/RB, ""up""/IN, ""Collins""/NNP, ""Street""/NNP, ""over""/IN, ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, "",""/,, ""including""/VBG, ""Yarra""/NNP, ""River""/NNP, ""and""/CC, ""Flinders""/NNP, ""Street""/NNP, ""Rail""/NNP, ""Yards""/NNP, ""]'""/'', "",""/,, ""'[""/'', ""Looking""/VBG, ""east""/RB, ""up""/IN, ""Collins""/NNP, ""Street""/NNP, ""over""/IN, ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, "",""/,, ""including""/VBG, ""Yarra""/NNP, ""River""/NNP, ""and""/CC, ""Flinders""/NNP, ""Street""/NNP, ""Rail""/NNP, ""Yards""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Could""/MD, ""not""/RB, ""find""/VB, ""'""/'', "",""/,, ""'""/'', ""n""/'', ""/""/:, ""a""/DT, ""']""/'']"
IE1027854,9916528433607636,"[City of Melbourne, Flinders Street on left, looking towards Spencer Street Rail Yards at top of image]",1926/1928,Airspy collection of aerial photographs.,"[[49, 49, 49], [87, 87, 87], [120, 120, 120], [153, 153, 153], [197, 197, 197]]","[49, 49, 49]","[87, 87, 87]","[120, 120, 120]","[153, 153, 153]","[197, 197, 197]","[City of Melbourne, Flinders Street on left, looking towards Spencer Street Rail Yards at top of image]","[City of Melbourne, Flinders Street on left, looking towards Spencer Street Rail Yards at top of image]","Savoy Hotel visible, under construction on Spencer Street.",,"['Span[3:4]: ""Melbourne"" → GPE (0.3607)', 'Span[5:7]: ""Flinders Street"" → FAC (0.7355)', 'Span[12:16]: ""Spencer Street Rail Yards"" → FAC (0.8644)', 'Span[23:26]: ""City of Melbourne"" → GPE (0.6329)', 'Span[27:29]: ""Flinders Street"" → FAC (0.8083)', 'Span[34:38]: ""Spencer Street Rail Yards"" → FAC (0.8983)', 'Span[45:47]: ""Savoy Hotel"" → FAC (0.8843)', 'Span[52:54]: ""Spencer Street."" → FAC (0.6410)']","Sentence[61]: ""['[City of Melbourne, Flinders Street on left, looking towards Spencer Street Rail Yards at top of image]', '[City of Melbourne, Flinders Street on left, looking towards Spencer Street Rail Yards at top of image]', 'Savoy Hotel visible, under construction on Spencer Street.', 'n/a']"" → [""['[""/-LRB-, ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, "",""/,, ""Flinders""/NNP, ""Street""/NNP, ""on""/IN, ""left""/RB, "",""/,, ""looking""/VBG, ""towards""/IN, ""Spencer""/NNP, ""Street""/NNP, ""Rail""/NNP, ""Yards""/NNPS, ""at""/IN, ""top""/NN, ""of""/IN, ""image""/NN, ""]'""/'', "",""/,, ""'[""/'', ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, "",""/,, ""Flinders""/NNP, ""Street""/NNP, ""on""/IN, ""left""/RB, "",""/,, ""looking""/VBG, ""towards""/IN, ""Spencer""/NNP, ""Street""/NNP, ""Rail""/NNP, ""Yards""/NNP, ""at""/IN, ""top""/NN, ""of""/IN, ""image""/NN, ""]'""/'', "",""/,, ""'""/'', ""Savoy""/NNP, ""Hotel""/NNP, ""visible""/JJ, "",""/,, ""under""/IN, ""construction""/NN, ""on""/IN, ""Spencer""/NNP, ""Street.""/NNP, ""'""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/SYM, ""a""/NN, ""']""/'']"
IE1028754,9916529153607636,[Flinders Street Rail Yards with Aspro building l.r.],1942/1948,Airspy collection of aerial photographs.,"[[50, 50, 50], [91, 91, 91], [133, 133, 133], [174, 174, 174], [231, 231, 231]]","[50, 50, 50]","[91, 91, 91]","[133, 133, 133]","[174, 174, 174]","[231, 231, 231]",[Flinders Street Rail Yards with Aspro building l.r.],[Flinders Street Rail Yards with Aspro building l.r.],Could not find,,"['Span[1:5]: ""Flinders Street Rail Yards"" → FAC (0.8196)', 'Span[12:16]: ""Flinders Street Rail Yards"" → FAC (0.8072)']","Sentence[33]: ""['[Flinders Street Rail Yards with Aspro building l.r.]', '[Flinders Street Rail Yards with Aspro building l.r.]', 'Could not find', 'n/a']"" → [""['[""/NFP, ""Flinders""/NNP, ""Street""/NNP, ""Rail""/NNP, ""Yards""/NNP, ""with""/IN, ""Aspro""/NNP, ""building""/NN, ""l.r.""/NNP, ""]'""/'', "",""/,, ""'[""/'', ""Flinders""/NNP, ""Street""/NNP, ""Rail""/NNP, ""Yards""/NNPS, ""with""/IN, ""Aspro""/NNP, ""building""/NN, ""l.r.""/NN, ""]'""/'', "",""/,, ""'""/'', ""Could""/MD, ""not""/RB, ""find""/VB, ""'""/'', "",""/,, ""'""/'', ""n""/'', ""/""/:, ""a""/DT, ""']""/'']"
IE1047027,9916530013607636,"[City of Melbourne, Yarra River and Flinders Street Railway Station]",1935/1941,Airspy collection of aerial photographs.,"[[58, 58, 58], [95, 95, 95], [136, 136, 136], [177, 177, 177], [219, 219, 219]]","[58, 58, 58]","[95, 95, 95]","[136, 136, 136]","[177, 177, 177]","[219, 219, 219]","[City of Melbourne, Yarra River and Flinders Street Railway Station]","[City of Melbourne, Yarra River and Flinders Street Railway Station]",Could not find,,"['Span[3:4]: ""Melbourne"" → GPE (0.6626)', 'Span[5:7]: ""Yarra River"" → LOC (0.6729)', 'Span[8:12]: ""Flinders Street Railway Station"" → FAC (0.6889)', 'Span[17:18]: ""Melbourne"" → GPE (0.5377)', 'Span[19:21]: ""Yarra River"" → LOC (0.7549)', 'Span[22:26]: ""Flinders Street Railway Station"" → FAC (0.7211)']","Sentence[39]: ""['[City of Melbourne, Yarra River and Flinders Street Railway Station]', '[City of Melbourne, Yarra River and Flinders Street Railway Station]', 'Could not find', 'n/a']"" → [""['[""/-LRB-, ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, "",""/,, ""Yarra""/NNP, ""River""/NNP, ""and""/CC, ""Flinders""/NNP, ""Street""/NNP, ""Railway""/NNP, ""Station""/NNP, ""]'""/'', "",""/,, ""'[""/'', ""City""/NNP, ""of""/IN, ""Melbourne""/NNP, "",""/,, ""Yarra""/NNP, ""River""/NNP, ""and""/CC, ""Flinders""/NNP, ""Street""/NNP, ""Railway""/NNP, ""Station""/NNP, ""]'""/'', "",""/,, ""'""/'', ""Could""/MD, ""not""/RB, ""find""/VB, ""'""/'', "",""/,, ""'""/'', ""n""/'', ""/""/:, ""a""/DT, ""']""/'']"
IE1060539,9916538273607636,"[Spencer Street near intersection with Flinders Street, Melbourne, showing railway tracks]",1925/1940,Airspy collection of aerial photographs.,"[[51, 51, 51], [86, 86, 86], [125, 125, 125], [160, 160, 160], [206, 206, 206]]","[51, 51, 51]","[86, 86, 86]","[125, 125, 125]","[160, 160, 160]","[206, 206, 206]","[Spencer Street near intersection with Flinders Street, Melbourne, showing railway tracks]","[Spencer Street near intersection with Flinders Street, Melbourne, showing railway tracks]",Could not find,,"['Span[1:3]: ""Spencer Street"" → FAC (0.9312)', 'Span[6:8]: ""Flinders Street"" → FAC (0.7843)', 'Span[9:10]: ""Melbourne"" → GPE (0.9988)', 'Span[17:19]: ""Spencer Street"" → FAC (0.9683)', 'Span[22:24]: ""Flinders Street"" → FAC (0.8296)', 'Span[25:26]: ""Melbourne"" → GPE (0.9966)']","Sentence[43]: ""['[Spencer Street near intersection with Flinders Street, Melbourne, showing railway tracks]', '[Spencer Street near intersection with Flinders Street, Melbourne, showing railway tracks]', 'Could not find', 'n/a']"" → [""['[""/NFP, ""Spencer""/NNP, ""Street""/NNP, ""near""/IN, ""intersection""/NN, ""with""/IN, ""Flinders""/NNP, ""Street""/NNP, "",""/,, ""Melbourne""/NNP, "",""/,, ""showing""/VBG, ""railway""/NN, ""tracks""/NNS, ""]'""/'', "",""/,, ""'[""/'', ""Spencer""/NNP, ""Street""/NNP, ""near""/IN, ""intersection""/NN, ""with""/IN, ""Flinders""/NNP, ""Street""/NNP, "",""/,, ""Melbourne""/NNP, "",""/,, ""showing""/VBG, ""railway""/NN, ""tracks""/NNS, ""]'""/'', "",""/,, ""'""/'', ""Could""/MD, ""not""/RB, ""find""/VB, ""'""/'', "",""/,, ""'""/'', ""n""/'', ""/""/SYM, ""a""/DT, ""']""/'']"
